ResponseId,Duration (in seconds),showdata,Q-demos-age,Q-demos-gender,Q-demos-hispanic,Q-demos-race,Q-demos-income,Q-demos-state,Q-share-browser-data,Q-perceptions-1,Q-perceptions-2,source
R_11cAikLH4RSaGLg,68,true,55 - 64 years,Female,No,White or Caucasian,"$50,000 - $74,999",Michigan,Consent to share,Neutral ,Strongly agree,PROLIFIC
R_11cQiwbLJr04xWF,48,false,25 - 34 years,Male,No,Asian,"$25,000 - $49,999",Pennsylvania,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_11cT4FAqkgPX3l7,39,true,25 - 34 years,Female,Yes,White or Caucasian,"$75,000 - $99,999",Maryland,Consent to share,Strongly disagree ,Somewhat agree ,PROLIFIC
R_11fn89ZID02n7y1,39,true,25 - 34 years,Male,No,White or Caucasian,"$50,000 - $74,999",Michigan,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_11gYC4aXpO5TWey,60,false,35 - 44 years,Female,No,White or Caucasian,"$50,000 - $74,999",Virginia,Decline,Somewhat disagree ,Strongly agree,PROLIFIC
R_11giePxJPE98x8v,69,false,35 - 44 years,Male,No,White or Caucasian,"Less than $25,000",Oregon,Decline,Strongly disagree ,Somewhat agree ,PROLIFIC
R_11gofGSa3dgR2Tf,53,false,25 - 34 years,Female,No,Black or African American,"$150,000 or more",Illinois,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_11hMafSKPNtD0IO,33,true,35 - 44 years,Male,No,White or Caucasian,"Less than $25,000",Illinois,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_11hcS7RiqnoSIZA,101,true,45 - 54 years,Female,No,American Indian/Native American or Alaska Native,"$150,000 or more",Texas,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_11hi7jtmttUMjos,48,false,35 - 44 years,Female,No,Asian,"$75,000 - $99,999",New York,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_11hoF3blPX00EtF,86,false,45 - 54 years,Female,No,White or Caucasian,"$50,000 - $74,999",Oregon,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_11hoWvPp3x9mq9W,45,false,35 - 44 years,Female,No,White or Caucasian,"$150,000 or more",New Jersey,Consent to share,Strongly disagree ,Somewhat disagree ,PROLIFIC
R_11hztWdFOqeHiut,85,true,35 - 44 years,Male,No,Asian,"$75,000 - $99,999",New York,Consent to share,Neutral ,Neutral ,PROLIFIC
R_11i26AiPhpdtsLY,74,true,45 - 54 years,Female,No,White or Caucasian,"$150,000 or more",Georgia,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_11iWlpGQlNokBPk,60,true,35 - 44 years,Male,No,White or Caucasian,"$100,000 - $149,999",Illinois,Decline,Neutral ,Neutral ,PROLIFIC
R_11jy9dWgzO1lVf7,101,true,45 - 54 years,Female,No,White or Caucasian,"$50,000 - $74,999",Minnesota,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_11lW5Wz9gTUrTup,496,true,35 - 44 years,Male,Yes,White or Caucasian,"$75,000 - $99,999",Iowa,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_11msuSUGqWpWG4M,41,false,18 - 24 years,Female,Yes,Other,Prefer not to say,California,Consent to share,Neutral ,Strongly agree,PROLIFIC
R_11oBRdz1e6FnB0k,134,true,25 - 34 years,Male,Yes,White or Caucasian,"$75,000 - $99,999",California,Consent to share,Strongly disagree ,Strongly agree,PROLIFIC
R_11oVI70XF322a8L,52,false,35 - 44 years,Female,No,White or Caucasian,"$25,000 - $49,999",Ohio,Consent to share,Strongly disagree ,Strongly agree,PROLIFIC
R_11pME1yaYeVFvmF,47,false,35 - 44 years,Male,No,White or Caucasian,"$25,000 - $49,999",Georgia,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_11sYgNO0TeCKbUk,67,true,25 - 34 years,Female,No,White or Caucasian,"$50,000 - $74,999",Washington,Consent to share,Strongly disagree ,Somewhat agree ,PROLIFIC
R_11snOIaOcNPIaYx,36,true,25 - 34 years,Male,No,White or Caucasian,"$50,000 - $74,999",Alabama,Consent to share,Strongly agree,Strongly agree,PROLIFIC
R_11tCSdp5Uh5y3Gx,32,false,18 - 24 years,Male,Yes,White or Caucasian,"$75,000 - $99,999",California,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_11tjHeoQNceoUIp,46,true,35 - 44 years,Male,No,White or Caucasian,"$150,000 or more",New Hampshire,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_11vTIfXWCDSnLHj,66,true,35 - 44 years,Male,No,White or Caucasian,"$25,000 - $49,999",New Jersey,Decline,Neutral ,Neutral ,PROLIFIC
R_11yPHXeFejYj4qE,107,false,18 - 24 years,Male,No,American Indian/Native American or Alaska Native,"$25,000 - $49,999",Arizona,Consent to share,Strongly disagree ,Strongly agree,PROLIFIC
R_11ypPDLlsxaz0aJ,76,true,45 - 54 years,Female,No,White or Caucasian,"$25,000 - $49,999",Ohio,Decline,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_1228RC7abj4UUrT,42,true,35 - 44 years,Female,No,White or Caucasian,"$150,000 or more",New Jersey,Consent to share,Strongly disagree ,Somewhat agree ,PROLIFIC
R_122MgdUiMbui9jX,341,true,35 - 44 years,Female,Yes,Other,"$75,000 - $99,999",Pennsylvania,Decline,Strongly disagree ,Neutral ,PROLIFIC
R_124mwhkO3vOzmak,45,true,35 - 44 years,Female,Yes,"White or Caucasian,Other","$100,000 - $149,999",Texas,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_125CbsUscrV5PZt,70,false,35 - 44 years,Male,No,White or Caucasian,"$100,000 - $149,999",Minnesota,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_125doVdV6bQKdq1,53,false,18 - 24 years,Male,Yes,White or Caucasian,"$50,000 - $74,999",Illinois,Consent to share,Neutral ,Somewhat disagree ,PROLIFIC
R_129EQyWOKrjITwr,110,true,45 - 54 years,Male,No,White or Caucasian,"$75,000 - $99,999",Ohio,Consent to share,Neutral ,Strongly agree,PROLIFIC
R_12CbuZmtarBeO53,75,true,35 - 44 years,Male,No,White or Caucasian,"$50,000 - $74,999",Washington,Decline,Strongly disagree ,Somewhat agree ,PROLIFIC
R_12DPoVx93DUfb2z,75,true,35 - 44 years,Male,No,White or Caucasian,"$100,000 - $149,999",Indiana,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_12DWYVSKI6qc3gO,44,true,25 - 34 years,Female,No,White or Caucasian,"$75,000 - $99,999",Arizona,Consent to share,Neutral ,Neutral ,PROLIFIC
R_12EWClFt4MMJQeR,54,false,35 - 44 years,Male,No,Asian,"$75,000 - $99,999",Arizona,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_12FuVhFGv8ospuH,54,true,35 - 44 years,Female,No,White or Caucasian,"$100,000 - $149,999",New Jersey,Decline,Neutral ,Somewhat agree ,PROLIFIC
R_12JhdcP3fjJUx3C,38,false,25 - 34 years,Male,No,Asian,"$50,000 - $74,999",California,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_12JjWHONNUPDBZO,50,true,35 - 44 years,Female,No,White or Caucasian,"$25,000 - $49,999",Virginia,Consent to share,Strongly disagree ,Strongly disagree ,PROLIFIC
R_12JtwUmzrGKx0hR,46,true,25 - 34 years,Female,No,White or Caucasian,"$75,000 - $99,999",Illinois,Consent to share,Somewhat disagree ,Somewhat disagree ,PROLIFIC
R_12JxWcRFgI3jSFU,71,false,18 - 24 years,Female,Yes,White or Caucasian,"Less than $25,000",Michigan,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_12KDb4Bw4bwzFEl,114,true,25 - 34 years,Female,No,White or Caucasian,"$25,000 - $49,999",Michigan,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_12Mw7zQ0KeFFxDZ,51,false,35 - 44 years,Male,No,White or Caucasian,"$25,000 - $49,999",California,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_12OOr4lJR9lYP9p,73,false,25 - 34 years,Female,No,Asian,"$25,000 - $49,999",Washington,Consent to share,Somewhat disagree ,Somewhat disagree ,PROLIFIC
R_12PKgpFnUOJij9g,49,false,35 - 44 years,Female,No,White or Caucasian,"$25,000 - $49,999",Alabama,Consent to share,Somewhat disagree ,Neutral ,PROLIFIC
R_12PWf9bLaLAOP9e,86,true,55 - 64 years,Male,No,White or Caucasian,"$150,000 or more",California,Decline,Strongly disagree ,Strongly agree,PROLIFIC
R_12Q1a1lpChKjmkF,63,false,45 - 54 years,Female,Yes,White or Caucasian,"$100,000 - $149,999",Kentucky,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_12QBbH0lVByXmb3,64,true,55 - 64 years,Male,No,Black or African American,"$150,000 or more",Alabama,Consent to share,Strongly disagree ,Somewhat disagree ,PROLIFIC
R_12Qo7tmQhYK0yFd,82,true,25 - 34 years,Male,No,Asian,"$25,000 - $49,999",California,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_12Roq9adYjnxnnb,96,true,25 - 34 years,Female,Yes,White or Caucasian,"$25,000 - $49,999",Georgia,Consent to share,Somewhat agree ,Neutral ,PROLIFIC
R_12UuLSPAt2EApvX,91,false,25 - 34 years,Male,No,Black or African American,"$50,000 - $74,999",Wisconsin,Decline,Neutral ,Somewhat agree ,PROLIFIC
R_12VAgg888WAEkCo,108,true,35 - 44 years,Male,No,Black or African American,"$25,000 - $49,999",Arizona,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_12VBfBizcVOxNrr,44,false,25 - 34 years,Male,No,Asian,"$50,000 - $74,999",California,Decline,Neutral ,Strongly agree,PROLIFIC
R_12W39WeU59ObRjM,143,false,25 - 34 years,Female,No,Black or African American,"$50,000 - $74,999",Georgia,Consent to share,Somewhat disagree ,Somewhat disagree ,PROLIFIC
R_12WLxxDvC1r6fyW,205,true,18 - 24 years,Female,No,Black or African American,"Less than $25,000",North Carolina,Consent to share,Neutral ,Somewhat agree ,PROLIFIC
R_12WpAHbs0LQqF5Z,45,true,35 - 44 years,Male,No,White or Caucasian,"$100,000 - $149,999",California,Consent to share,Somewhat agree ,Strongly agree,PROLIFIC
R_12Y5s4BQpz0bNjZ,44,true,35 - 44 years,Female,No,White or Caucasian,"$50,000 - $74,999",Indiana,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_12YAhkM0IY0SQpq,80,true,25 - 34 years,Female,No,White or Caucasian,"Less than $25,000",Nevada,Consent to share,Strongly disagree ,Somewhat agree ,PROLIFIC
R_12YhnAxvea2iUZA,73,false,65 or older,Male,No,White or Caucasian,"$50,000 - $74,999",Virginia,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_12cdVXsyQsHQWQY,27,false,18 - 24 years,Female,No,White or Caucasian,"$150,000 or more",California,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_12d2p2mSxRvdS25,82,true,45 - 54 years,Male,No,White or Caucasian,"$25,000 - $49,999",Oklahoma,Decline,Neutral ,Somewhat agree ,PROLIFIC
R_12hC7dMz7fSU4Dc,174,true,45 - 54 years,Male,No,White or Caucasian,"Less than $25,000",Florida,Consent to share,Somewhat agree ,Somewhat disagree ,PROLIFIC
R_12hjWIvGWgvHUFA,87,true,45 - 54 years,Female,No,White or Caucasian,"$75,000 - $99,999",Tennessee,Decline,Somewhat agree ,Strongly agree,PROLIFIC
R_12hvIStiuo6AVxd,100,true,65 or older,Female,No,White or Caucasian,"$50,000 - $74,999",Pennsylvania,Consent to share,Somewhat agree ,Somewhat agree ,PROLIFIC
R_12j2AJQ4Flx8SOt,38,false,25 - 34 years,Female,No,"White or Caucasian,Native Hawaiian or Other Pacific Islander","$100,000 - $149,999",Oregon,Consent to share,Somewhat disagree ,Somewhat agree ,PROLIFIC
R_12l4RmhmFHmatmN,491,false,45 - 54 years,Female,No,Black or African American,"$150,000 or more",New York,Consent to share,Strongly agree,Somewhat agree ,PROLIFIC
R_12ljnvRPgoptVvO,57,false,25 - 34 years,Male,No,Asian,"$25,000 - $49,999",California,Decline,Strongly disagree ,Neutral ,PROLIFIC
R_12lltxwSkYoEtKS,65,true,35 - 44 years,Female,No,White or Caucasian,"$100,000 - $149,999",Oregon,Consent to share,Strongly disagree ,Neutral ,PROLIFIC
R_12lqYbxBPTc4fLO,40,false,35 - 44 years,Female,No,Asian,"$100,000 - $149,999",New York,Decline,Somewhat agree ,Somewhat agree ,PROLIFIC
R_12mqm87g1QYTu3g,45,false,35 - 44 years,Female,No,White or Caucasian,"$50,000 - $74,999",Wisconsin,Consent to share,Neutral ,Strongly agree,PROLIFIC
